State,Median Household Income 2018,Median Household Income 2023
Alabama,"49,900","62,025"
Alaska,"74,300","84,210"
Arizona,"59,200","71,520"
Arkansas,"47,100","58,590"
California,"75,300","81,045"
Colorado,"72,000","81,075"
Connecticut,"76,300","84,195"
Delaware,"64,800","73,920"
Florida,"55,500","67,605"
Georgia,"58,800","68,220"
Hawaii,"80,200","75,765"
Idaho,"55,600","66,360"
Illinois,"65,000","73,095"
Indiana,"55,700","68,205"
Iowa,"60,000","69,690"
Kansas,"58,200","67,875"
Kentucky,"50,200","65,595"
Louisiana,"47,900","61,980"
Maine,"55,600","71,385"
Maryland,"83,200","83,715"
Massachusetts,"79,800","91,035"
Michigan,"56,700","70,410"
Minnesota,"70,300","76,320"
Mississippi,"44,700","56,250"
Missouri,"54,500","67,620"
Montana,"55,300","68,535"
Nebraska,"59,600","69,660"
Nevada,"58,600","67,215"
New Hampshire,"75,000","74,970"
New Jersey,"81,700","82,290"
New Mexico,"47,200","65,430"
New York,"67,800","85,260"
North Carolina,"53,900","68,160"
North Dakota,"63,800","73,245"
Ohio,"56,100","70,035"
Oklahoma,"51,900","62,220"
Oregon,"63,400","75,015"
Pennsylvania,"60,900","71,145"
Rhode Island,"64,300","76,455"
South Carolina,"52,300","63,330"
South Dakota,"56,300","65,520"
Tennessee,"52,400","65,730"
Texas,"60,600","68,955"
Utah,"71,400","70,530"
Vermont,"60,800","74,445"
Virginia,"72,600","74,880"
Washington,"74,100","89,880"
West Virginia,"44,100","59,655"
Wisconsin,"60,800","71,385"
Wyoming,"61,600","70,875"
